Code,Created Time,Download,Upload,Traffic Limit Type,Traffic Limit,Used Data,Remaining Data,Price,Notes,Duration,Duration Type,Type,Portals,Site Name
2398512196,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Expired,[GCONNECT WIFI],EAP225 Site
3592749798,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
5675302632,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
9382357090,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
7212150486,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
1781973823,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
3460566517,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
3502059764,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
1129995458,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
0537882203,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
0863661249,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
6455931538,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
5615202639,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
8976876446,Aug 05 2023 07:56:51 PM,,,,,,,PHP10,,60.0Minutes,Voucher Duration,Valid for 1 User,[GCONNECT WIFI],EAP225 Site
